"PointID"	"x"	"y"	"z"	"Density"	"Momentum_x"	"Momentum_y"	"Momentum_z"	"Energy"	"Grid_Velocity_x"	"Grid_Velocity_y"	"Grid_Velocity_z"	"Pressure"	"Temperature"	"Mach"	"Pressure_Coefficient"
37	1.734992968600549e+00	6.103391699337225e+00	5.340904239084033e-10	9.032202885157786e-01	1.000765626018148e+00	2.173810758541077e-02	3.265056060541447e-01	2.815204023448227e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	8.806021159663595e-01	9.749582988369464e-01	9.977890445130628e-01	-2.015222185282887e-01	
38	1.722834947464666e+00	6.104003355876920e+00	2.002403049809462e-03	9.025509944425261e-01	9.989121705305866e-01	-4.674118256207182e-02	3.147124111706899e-01	2.811763997684972e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	8.811616506226002e-01	9.763012351084525e-01	9.935320051223603e-01	-2.005778243609907e-01	
39	1.681916109816520e+00	6.105937516019782e+00	4.835425215647509e-03	9.045945136879882e-01	1.003719028251220e+00	-1.146855691440864e-01	2.803243160956421e-01	2.817268019385695e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	8.838842017542445e-01	9.771054194776081e-01	9.909391635385542e-01	-1.959826462424984e-01	
40	1.598204782643319e+00	6.109433837055505e+00	9.310596014206422e-03	9.118650573672137e-01	1.016609109807815e+00	-1.670487839921084e-01	2.491282732544584e-01	2.840917547034678e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	8.899568146207294e-01	9.759742490739375e-01	9.944108681834947e-01	-1.857331646287986e-01	
41	1.448931243985550e+00	6.114470319987797e+00	1.576482676691586e-02	9.176775759265737e-01	1.028890315745814e+00	-1.738925670990674e-01	1.834187741680418e-01	2.856780114737175e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	8.980735404128644e-01	9.786373383986033e-01	9.863418064269758e-01	-1.720335869348090e-01	
42	1.215330099847075e+00	6.119726858889699e+00	2.266080611513149e-02	9.326124926431049e-01	1.047066529459163e+00	-1.445971667197496e-01	1.212444884528124e-01	2.899648286708841e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.171096426286066e-01	9.833769650988035e-01	9.722762570097270e-01	-1.399040598355951e-01	
43	9.144400000026405e-01	6.122130935659829e+00	2.586426955976945e-02	9.520252773800538e-01	1.056448247157530e+00	-9.320073907305426e-02	8.652176104488406e-02	2.954247665309556e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.438366230306674e-01	9.913987007026521e-01	9.487144369620903e-01	-9.479370944054247e-02	
44	6.135499001582028e-01	6.119726858889758e+00	2.266080613316310e-02	9.636606289278100e-01	1.053757456486295e+00	-4.337847307574208e-02	7.217913595091979e-02	2.985433262257132e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.622459514035563e-01	9.985319753845006e-01	9.277990515919776e-01	-6.372206419869651e-02	
45	3.799487560197225e-01	6.114470319987906e+00	1.576482679894661e-02	9.764015336952149e-01	1.051545539788504e+00	-1.290092475231469e-02	7.544953911769663e-02	3.020433096461396e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.804785759482285e-01	1.004175579525755e+00	9.107063302174974e-01	-3.294866333339773e-02	
46	2.306752173619455e-01	6.109433837055637e+00	9.310596055182743e-03	9.846280617264153e-01	1.043371628998990e+00	6.115851695568617e-03	7.158677025647538e-02	3.040947708473294e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.942065762194707e-01	1.009728053531463e+00	8.933627223941070e-01	-9.778260499137983e-03	
47	1.469638901887414e-01	6.105937516019933e+00	4.835425261640424e-03	9.882806926597575e-01	1.032895858560218e+00	2.164147126951419e-02	7.439454335400558e-02	3.048208363667828e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.002163500071188e+00	1.014047433603168e+00	8.796328793490396e-01	3.651600174162722e-03	
48	1.060450525405922e-01	6.104003355877083e+00	2.002403098254544e-03	9.873368155548125e-01	1.020401458024185e+00	4.882857840516556e-02	9.289814697721553e-02	3.042682973773124e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.003927398783828e+00	1.016803367369313e+00	8.707795296737889e-01	6.628744909242087e-03	
