"PointID"	"x"	"y"	"z"	"Displacement_x"	"Displacement_y"	"Displacement_z"	"FORCE_x"	"FORCE_y"	"FORCE_z"
78	1.185327679922108e+00	1.109472000040485e+00	1.706113218891611e-03	-7.789222577954610e-11	4.048562061686253e-11	1.706113218891610e-03	-1.831249831984697e+01	1.800505307991514e+01	1.412417252747804e+02	
79	1.253343679921610e+00	1.109472000049065e+00	1.844167573717659e-03	-7.839014131760536e-11	4.906475944673565e-11	1.844167573717659e-03	-1.751649397388586e+01	1.717224867679048e+01	1.901814948946217e+02	
80	1.321359679920772e+00	1.109472000057747e+00	1.985936880701091e-03	-7.922813518290315e-11	5.774762647037414e-11	1.985936880701090e-03	-1.592809790751230e+01	1.555138575662998e+01	2.318892592975732e+02	
81	1.389375679919936e+00	1.109472000066794e+00	2.145365788437225e-03	-8.006453886934597e-11	6.679395021046420e-11	2.145365788437225e-03	-1.434363313281397e+01	1.393637805855504e+01	2.707403830556638e+02	
82	1.466575679919101e+00	1.109472000077182e+00	2.322811815854301e-03	-8.089868242935333e-11	7.718138472619846e-11	2.322811815854301e-03	-1.267939789404438e+01	1.224414075843476e+01	3.167126027520157e+02	
83	1.525391679918634e+00	1.109472000085101e+00	2.447352156506359e-03	-8.136651248213617e-11	8.510141715897922e-11	2.447352156506359e-03	-1.145622404837495e+01	1.101447297366093e+01	3.512217219939074e+02	
84	1.593407679918134e+00	1.109472000094566e+00	2.607330990816202e-03	-8.186660393491840e-11	9.456626061041041e-11	2.607330990816202e-03	-1.008775943043145e+01	9.662262659757495e+00	3.802170920108626e+02	
85	1.661423679917734e+00	1.109472000104461e+00	2.784920203867239e-03	-8.226649485636815e-11	1.044608189718354e-10	2.784920203867240e-03	-8.835018320928837e+00	8.431825395522825e+00	3.893865524810058e+02	
86	1.729439679917365e+00	1.109472000114349e+00	2.962612719221221e-03	-8.263456696587261e-11	1.143491168422120e-10	2.962612719221221e-03	-7.929760986380594e+00	7.488426483361326e+00	4.045626514854054e+02	
87	1.797439679917300e+00	1.109472000124571e+00	3.140581515522386e-03	-8.270031696711700e-11	1.245707310333577e-10	3.140581515522386e-03	-7.322132866004927e+00	6.798264936938866e+00	4.354061390403853e+02	
88	1.276945919903806e+00	1.267968000048226e+00	2.153046268530898e-03	-9.619483937445962e-11	4.822599196365848e-11	2.153046268530898e-03	-1.413513477196838e+01	1.389546330128082e+01	1.327727824820562e+02	
89	1.341921919903546e+00	1.267968000056936e+00	2.294679768389275e-03	-9.645443666642801e-11	5.693660381980832e-11	2.294679768389275e-03	-1.328446557490491e+01	1.301567890075290e+01	1.696284165207891e+02	
90	1.406897919902947e+00	1.267968000065943e+00	2.436492804641573e-03	-9.705386244618844e-11	6.594240508906109e-11	2.436492804641574e-03	-1.194317487623613e+01	1.164424630642608e+01	2.043172543128177e+02	
91	1.471873919902347e+00	1.267968000074710e+00	2.595953269193300e-03	-9.765328822594885e-11	7.470955981745220e-11	2.595953269193301e-03	-1.079332013459722e+01	1.045710718417295e+01	2.331913406090101e+02	
92	1.536849919901820e+00	1.267968000083771e+00	2.755541813586424e-03	-9.818110395965453e-11	8.377021829896876e-11	2.755541813586424e-03	-9.727561896256582e+00	9.367554653782644e+00	2.572316728241921e+02	
93	1.610481919901224e+00	1.267968000093940e+00	2.933062792783123e-03	-9.877669840587835e-11	9.393988122264153e-11	2.933062792783124e-03	-8.619640856039355e+00	8.272425505038244e+00	2.852474062194668e+02	
94	1.666817919900964e+00	1.267968000101817e+00	3.075076891134562e-03	-9.903629569784674e-11	1.018167784381961e-10	3.075076891134563e-03	-7.840048364413486e+00	7.497905315271210e+00	3.097598076545773e+02	
95	1.731793919900362e+00	1.267968000111441e+00	3.234978735704826e-03	-9.963789163594198e-11	1.114406978144700e-10	3.234978735704826e-03	-7.025786748228259e+00	6.676978003991889e+00	3.355278018146348e+02	
96	1.796769919900098e+00	1.267968000120450e+00	3.412434874530362e-03	-9.990176976100958e-11	1.204499772770869e-10	3.412434874530362e-03	-6.246816517044206e+00	5.942207916086457e+00	3.442427399432215e+02	
97	1.861745919900103e+00	1.267968000130065e+00	3.589934370514991e-03	-9.989741793156362e-11	1.300646273854751e-10	3.589934370514992e-03	-5.562210842187602e+00	5.260179141765591e+00	3.429751502759066e+02	
98	1.926721919900105e+00	1.267968000139676e+00	3.767545677631959e-03	-9.989524201684063e-11	1.396761607250621e-10	3.767545677631959e-03	-5.009124439327231e+00	4.673246622504552e+00	3.445032466890024e+02	
99	1.436564159884908e+00	1.426464000066011e+00	2.779854301153141e-03	-1.150916289584232e-10	6.601033100502849e-11	2.779854301153141e-03	-8.876029190320660e+00	8.708882991392157e+00	1.523075184143158e+02	
100	1.498500159884649e+00	1.426464000074967e+00	2.921767200475070e-03	-1.153510785013099e-10	7.496697543830945e-11	2.921767200475069e-03	-8.146318341074856e+00	7.991715202956796e+00	1.738302195693059e+02	
101	1.560452159884318e+00	1.426464000083689e+00	3.081217040997659e-03	-1.156823700510456e-10	8.368881903475140e-11	3.081217040997660e-03	-7.441070865488758e+00	7.356215687649702e+00	1.937004782880798e+02	
102	1.622388159884059e+00	1.426464000092513e+00	3.240753804802317e-03	-1.159420383393607e-10	9.251267954578682e-11	3.240753804802317e-03	-6.762127311270056e+00	6.744974052459290e+00	2.107118719893450e+02	
103	1.684340159883461e+00	1.426464000100924e+00	3.400408381311173e-03	-1.165394301970917e-10	1.009241828910688e-10	3.400408381311174e-03	-6.131773819420593e+00	6.220420425049329e+00	2.251419122921276e+02	
104	1.762516159883204e+00	1.426464000112299e+00	3.595689115898206e-03	-1.167969225706839e-10	1.122997208861988e-10	3.595689115898207e-03	-5.386829693970248e+00	5.547066927538828e+00	2.379528450952638e+02	
105	1.808228159882942e+00	1.426464000118689e+00	3.719844705770138e-03	-1.170580510538661e-10	1.186890905970052e-10	3.719844705770139e-03	-4.969701955222162e+00	5.151186052289029e+00	2.422975645175004e+02	
106	1.870180159882609e+00	1.426464000127431e+00	3.879636591799151e-03	-1.173914285502241e-10	1.274315506371632e-10	3.879636591799151e-03	-4.439512906757943e+00	4.570071885008283e+00	2.474042359794706e+02	
107	1.932116159882348e+00	1.426464000136438e+00	4.056922072534307e-03	-1.176532669968742e-10	1.364386438789409e-10	4.056922072534306e-03	-3.930367302874289e+00	3.949881791131729e+00	2.473378077644823e+02	
108	1.994068159882350e+00	1.426464000145443e+00	4.234218730123213e-03	-1.176510910821512e-10	1.454428581540365e-10	4.234218730123212e-03	-3.431312535188836e+00	3.310501041810544e+00	2.398805976882260e+02	
109	2.056004159882351e+00	1.426464000154445e+00	4.394052475505518e-03	-1.176489151674282e-10	1.544456053227564e-10	4.394052475505518e-03	-2.993522038020891e+00	2.809312798386469e+00	2.287268170409057e+02	
110	1.596182399866555e+00	1.584960000084591e+00	3.441928333418737e-03	-1.334448888532186e-10	8.459090057097145e-11	3.441928333418737e-03	-5.212522511575418e+00	5.744239561159741e+00	1.411990672497686e+02	
111	1.655094399866293e+00	1.584960000093037e+00	3.583932898865943e-03	-1.337067272998686e-10	9.303657973424343e-11	3.583932898865943e-03	-4.816355390704619e+00	5.465293603739054e+00	1.509340119388272e+02	
112	1.714006399866302e+00	1.584960000101519e+00	3.743422261071184e-03	-1.336980293973648e-10	1.015193468094839e-10	3.743422261071184e-03	-4.402661748270535e+00	5.134730500575673e+00	1.583387601875610e+02	
113	1.772918399866043e+00	1.584960000109660e+00	3.902992155980902e-03	-1.339572671578712e-10	1.096604569534261e-10	3.902992155980902e-03	-3.991787169670028e+00	4.749211644198500e+00	1.634541720179126e+02	
114	1.831830399865714e+00	1.584960000118069e+00	4.045129649777074e-03	-1.342862928247833e-10	1.180695217321323e-10	4.045129649777073e-03	-3.594598479462363e+00	4.307624670834325e+00	1.663910521409246e+02	
115	1.906422399865458e+00	1.584960000128563e+00	4.257822329414981e-03	-1.345416092836525e-10	1.285639283344975e-10	4.257822329414981e-03	-3.119748762423755e+00	3.685020840889275e+00	1.664676907591927e+02	
116	1.949654399865199e+00	1.584960000134682e+00	4.364417380309216e-03	-1.348005618521117e-10	1.346822601204549e-10	4.364417380309216e-03	-2.862146881717179e+00	3.313686172192296e+00	1.641612759994330e+02	
117	2.008566399864866e+00	1.584960000143423e+00	4.541545008296133e-03	-1.351339393484697e-10	1.434227337134483e-10	4.541545008296133e-03	-2.539923623591310e+00	2.836174969260728e+00	1.580815276993195e+02	
118	2.067478399864604e+00	1.584960000151823e+00	4.701175033857989e-03	-1.353957777951197e-10	1.518233124235707e-10	4.701175033857989e-03	-2.263137391772622e+00	2.431618415312001e+00	1.492333457864377e+02	
119	2.126374399864609e+00	1.584960000160289e+00	4.860792282631113e-03	-1.353914317220619e-10	1.602893283657731e-10	4.860792282631113e-03	-2.042103581867552e+00	2.120106559069221e+00	1.387190852206015e+02	
120	2.185286399864611e+00	1.584960000169025e+00	5.037693170206954e-03	-1.353892558073389e-10	1.690247459222409e-10	5.037693170206953e-03	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
EXT_ITER= 1
AOA= 0.000000000000000e+00
SIDESLIP_ANGLE= 0.000000000000000e+00
INITIAL_BCTHRUST= 4.000000000000000e+03
DCD_DCL_VALUE= 0.000000000000000e+00
DCMX_DCL_VALUE= 0.000000000000000e+00
